zip,Zipcode name,City,State,County Name
501,"HOLTSVILLE, NY",HOLTSVILLE,NY,SUFFOLK
1001,"AGAWAM, MA",AGAWAM,MA,HAMPDEN
1002,"AMHERST, MA",AMHERST,MA,HAMPSHIRE
1003,"AMHERST, MA",AMHERST,MA,HAMPSHIRE
1004,"AMHERST, MA",AMHERST,MA,HAMPSHIRE
1005,"BARRE, MA",BARRE,MA,WORCESTER
1007,"BELCHERTOWN, MA",BELCHERTOWN,MA,HAMPSHIRE
1008,"BLANDFORD, MA",BLANDFORD,MA,HAMPDEN
1009,"BONDSVILLE, MA",BONDSVILLE,MA,HAMPDEN
1010,"BRIMFIELD, MA",BRIMFIELD,MA,HAMPDEN
1011,"CHESTER, MA",CHESTER,MA,HAMPDEN
1012,"CHESTERFIELD, MA",CHESTERFIELD,MA,HAMPSHIRE
1013,"CHICOPEE, MA",CHICOPEE,MA,HAMPDEN
1014,"CHICOPEE, MA",CHICOPEE,MA,HAMPDEN
1020,"CHICOPEE, MA",CHICOPEE,MA,HAMPDEN
1021,"CHICOPEE, MA",CHICOPEE,MA,HAMPDEN
1022,"CHICOPEE, MA",CHICOPEE,MA,HAMPDEN
1026,"CUMMINGTON, MA",CUMMINGTON,MA,HAMPSHIRE
1027,"EASTHAMPTON, MA",EASTHAMPTON,MA,HAMPSHIRE
1028,"EAST LONGMEADOW, MA",EAST LONGMEADOW,MA,HAMPDEN
1029,"EAST OTIS, MA",EAST OTIS,MA,BERKSHIRE
1030,"FEEDING HILLS, MA",FEEDING HILLS,MA,HAMPDEN
1031,"GILBERTVILLE, MA",GILBERTVILLE,MA,WORCESTER
1032,"GOSHEN, MA",GOSHEN,MA,HAMPSHIRE
1033,"GRANBY, MA",GRANBY,MA,HAMPSHIRE
1034,"GRANVILLE, MA",GRANVILLE,MA,HAMPDEN
1035,"HADLEY, MA",HADLEY,MA,HAMPSHIRE
1036,"HAMPDEN, MA",HAMPDEN,MA,HAMPDEN
1037,"HARDWICK, MA",HARDWICK,MA,WORCESTER
1038,"HATFIELD, MA",HATFIELD,MA,HAMPSHIRE
1039,"HAYDENVILLE, MA",HAYDENVILLE,MA,HAMPSHIRE
1040,"HOLYOKE, MA",HOLYOKE,MA,HAMPDEN
1041,"HOLYOKE, MA",HOLYOKE,MA,HAMPDEN
1050,"HUNTINGTON, MA",HUNTINGTON,MA,HAMPSHIRE
1053,"LEEDS, MA",LEEDS,MA,HAMPSHIRE
1054,"LEVERETT, MA",LEVERETT,MA,FRANKLIN
1056,"LUDLOW, MA",LUDLOW,MA,HAMPDEN
1057,"MONSON, MA",MONSON,MA,HAMPDEN
1059,"NORTH AMHERST, MA",NORTH AMHERST,MA,HAMPSHIRE
1060,"NORTHAMPTON, MA",NORTHAMPTON,MA,HAMPSHIRE
1061,"NORTHAMPTON, MA",NORTHAMPTON,MA,HAMPSHIRE
1062,"FLORENCE, MA",FLORENCE,MA,HAMPSHIRE
1063,"NORTHAMPTON, MA",NORTHAMPTON,MA,HAMPSHIRE
1066,"NORTH HATFIELD, MA",NORTH HATFIELD,MA,HAMPSHIRE
1068,"OAKHAM, MA",OAKHAM,MA,WORCESTER
1069,"PALMER, MA",PALMER,MA,HAMPDEN
1070,"PLAINFIELD, MA",PLAINFIELD,MA,HAMPSHIRE
1071,"RUSSELL, MA",RUSSELL,MA,HAMPDEN
1072,"SHUTESBURY, MA",SHUTESBURY,MA,FRANKLIN
1073,"SOUTHAMPTON, MA",SOUTHAMPTON,MA,HAMPSHIRE
1074,"SOUTH BARRE, MA",SOUTH BARRE,MA,WORCESTER
1075,"SOUTH HADLEY, MA",SOUTH HADLEY,MA,HAMPSHIRE
1077,"SOUTHWICK, MA",SOUTHWICK,MA,HAMPDEN
1079,"THORNDIKE, MA",THORNDIKE,MA,HAMPDEN
1080,"THREE RIVERS, MA",THREE RIVERS,MA,HAMPDEN
1081,"WALES, MA",WALES,MA,HAMPDEN
1082,"WARE, MA",WARE,MA,HAMPSHIRE
1083,"WARREN, MA",WARREN,MA,WORCESTER
1084,"WEST CHESTERFIELD, MA",WEST CHESTERFIELD,MA,HAMPSHIRE
1085,"WESTFIELD, MA",WESTFIELD,MA,HAMPDEN
1086,"WESTFIELD, MA",WESTFIELD,MA,HAMPDEN
1088,"WEST HATFIELD, MA",WEST HATFIELD,MA,HAMPSHIRE
1089,"WEST SPRINGFIELD, MA",WEST SPRINGFIELD,MA,HAMPDEN
1090,"WEST SPRINGFIELD, MA",WEST SPRINGFIELD,MA,HAMPDEN
1092,"WEST WARREN, MA",WEST WARREN,MA,WORCESTER
1093,"WHATELY, MA",WHATELY,MA,FRANKLIN
1094,"WHEELWRIGHT, MA",WHEELWRIGHT,MA,WORCESTER
1095,"WILBRAHAM, MA",WILBRAHAM,MA,HAMPDEN
1096,"WILLIAMSBURG, MA",WILLIAMSBURG,MA,HAMPSHIRE
1098,"WORTHINGTON, MA",WORTHINGTON,MA,HAMPSHIRE
1101,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1102,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1103,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1104,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1105,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1106,"LONGMEADOW, MA",LONGMEADOW,MA,HAMPDEN
1107,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1108,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1109,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1111,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1115,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1116,"LONGMEADOW, MA",LONGMEADOW,MA,HAMPDEN
1118,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1119,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1128,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1129,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1138,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1139,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1144,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1151,"INDIAN ORCHARD, MA",INDIAN ORCHARD,MA,HAMPDEN
1152,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1199,"SPRINGFIELD, MA",SPRINGFIELD,MA,HAMPDEN
1201,"PITTSFIELD, MA",PITTSFIELD,MA,BERKSHIRE
1202,"PITTSFIELD, MA",PITTSFIELD,MA,BERKSHIRE
1203,"PITTSFIELD, MA",PITTSFIELD,MA,BERKSHIRE
1220,"ADAMS, MA",ADAMS,MA,BERKSHIRE
1222,"ASHLEY FALLS, MA",ASHLEY FALLS,MA,BERKSHIRE
1223,"BECKET, MA",BECKET,MA,BERKSHIRE
1224,"BERKSHIRE, MA",BERKSHIRE,MA,BERKSHIRE
1225,"CHESHIRE, MA",CHESHIRE,MA,BERKSHIRE
1226,"DALTON, MA",DALTON,MA,BERKSHIRE
1227,"DALTON, MA",DALTON,MA,BERKSHIRE
1229,"GLENDALE, MA",GLENDALE,MA,BERKSHIRE
1230,"GREAT BARRINGTON, MA",GREAT BARRINGTON,MA,BERKSHIRE
1235,"HINSDALE, MA",HINSDALE,MA,BERKSHIRE
1236,"HOUSATONIC, MA",HOUSATONIC,MA,BERKSHIRE
1237,"LANESBORO, MA",LANESBORO,MA,BERKSHIRE
1238,"LEE, MA",LEE,MA,BERKSHIRE
1240,"LENOX, MA",LENOX,MA,BERKSHIRE
